District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
047415,Arcadia Local,Hancock,Region 1,4  Stars,85.1,93.0,109.3,0.0,11.4,14.4,30.4,21.0,22.0,0.8,95.9,92.8,33.1,"   $12,576"
047423,Arlington Local,Hancock,Region 1,4  Stars,87.6,95.7,109.3,0.0,9.5,14.4,24.5,23.9,25.3,2.3,97.4,92.4,34,"   $11,686"
047431,Cory-Rawson Local,Hancock,Region 1,3  Stars,70.7,77.2,109.3,0.0,25.6,20.5,30.5,14.4,8.8,0.2,81.2,80.8,25.5,"   $15,094"
047449,Liberty-Benton Local,Hancock,Region 1,5  Stars,90.7,99.1,109.3,0.1,7.6,10.9,24.2,25.9,30.4,0.9,99.1,100.0,64.7,"    $9,630"
047456,McComb Local,Hancock,Region 1,4  Stars,80.6,88.1,109.3,0.2,15.8,16.6,25.7,23.0,18.1,0.5,86.6,85.7,40.1,"   $13,619"
047464,Van Buren Local,Hancock,Region 1,4  Stars,88.1,96.3,109.3,0.0,9.7,12.6,26.8,23.0,25.7,2.3,97.2,93.9,61,"   $11,912"
047472,Vanlue Local,Hancock,Region 1,3  Stars,74.6,81.5,109.3,0.5,22.6,19.2,23.6,13.9,19.7,0.5,79.0,84.6,13,"   $17,670"
047498,Hardin Northern Local,Hardin,Region 6,4  Stars,81.0,88.5,109.3,0.0,15.3,18.4,23.4,21.1,21.4,0.5,87.0,88.1,26,"   $21,128"
047506,Ridgemont Local,Hardin,Region 6,3  Stars,74.0,80.9,109.3,0.4,21.4,19.8,28.4,18.7,10.9,0.4,79.3,80.8,28,"   $13,202"
047514,Riverdale Local,Hancock,Region 6,3  Stars,74.4,81.3,109.3,0.5,20.8,20.3,26.6,18.7,13.2,0.0,83.3,80.5,41,"   $10,043"
