District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
048850,Maysville Local,Muskingum,Region 12,3  Stars,72.2,78.9,109.3,0.4,24.3,20.0,25.3,17.1,12.5,0.4,80.6,79.7,80,"    $8,874"
048876,Tri-Valley Local,Muskingum,Region 12,4  Stars,83.7,91.5,109.3,0.1,12.7,15.7,25.7,24.2,21.5,0.1,91.4,87.7,117.5,"    $9,881"
048884,West Muskingum Local,Muskingum,Region 12,3  Stars,78.8,86.1,109.3,0.4,17.7,16.3,27.9,21.3,16.4,0.0,86.4,83.4,62.8,"    $7,915"
048900,Noble Local,Noble,Region 12,3  Stars,76.9,84.1,109.3,0.3,16.9,22.1,25.3,20.1,15.2,0.1,85.5,84.8,54.2,"   $17,825"
048926,Benton Carroll Salem Local,Ottawa,Region 1,4  Stars,88.8,97.0,109.3,0.0,8.8,12.7,24.9,24.7,28.0,0.8,98.0,97.9,62,"   $13,714"
048934,Danbury Local,Ottawa,Region 1,4  Stars,84.2,92.0,109.3,0.0,12.9,14.1,28.8,22.5,20.9,0.8,92.1,90.7,33,"   $17,308"
048942,Genoa Area Local,Ottawa,Region 1,4  Stars,81.9,89.5,109.3,0.3,13.9,16.9,27.5,21.3,19.8,0.5,92.3,89.3,66.5,"   $10,247"
048975,Put-In-Bay Local,Ottawa,Region 1,3  Stars,75.9,82.9,109.3,0.0,21.8,17.9,21.8,23.1,15.4,0.0,87.8,87.5,10,"   $38,798"
048991,Antwerp Local,Paulding,Region 1,4  Stars,88.5,96.7,109.3,0.0,8.7,11.9,29.3,26.3,22.7,1.1,95.7,96.0,35.3,"   $12,754"
049031,Wayne Trace Local,Paulding,Region 1,4  Stars,83.9,91.6,109.3,0.0,13.6,14.7,26.4,21.5,23.0,0.9,93.4,95.1,52.3,"   $14,145"
049056,Northern Local,Perry,Region 12,4  Stars,81.3,88.9,109.3,0.6,14.3,15.6,30.2,22.2,16.8,0.3,87.8,87.8,94.3,"    $9,265"
049064,Southern Local,Perry,Region 16,2  Stars,66.4,72.5,109.3,0.1,30.9,22.2,24.6,14.0,7.3,0.9,74.7,74.5,39.7,"   $11,960"
049080,Logan Elm Local,Pickaway,Region 11,3  Stars,79.7,87.0,109.3,0.7,17.0,15.8,26.5,21.1,17.8,1.1,86.9,83.8,90,"   $11,214"
049098,Teays Valley Local,Pickaway,Region 11,4  Stars,82.5,90.2,109.3,1.0,13.7,14.6,27.5,22.2,19.8,1.2,91.4,89.5,180,"    $9,795"
049106,Westfall Local,Pickaway,Region 11,3  Stars,75.6,82.6,109.3,0.0,19.6,20.0,29.3,19.6,11.5,0.0,83.2,81.5,49,"   $12,278"
049122,Eastern Local School District,Pike,Region 15,3  Stars,75.4,82.4,109.3,0.7,19.8,18.8,28.5,19.4,12.7,0.0,81.3,79.0,47,"   $14,137"
049130,Scioto Valley Local,Pike,Region 15,2  Stars,66.9,73.1,109.3,0.7,29.5,21.8,24.3,14.7,8.9,0.0,72.6,70.3,65,"    $9,196"
049148,Waverly City,Pike,Region 15,2  Stars,67.2,73.4,109.3,0.4,30.8,20.2,23.8,14.6,10.2,0.0,74.9,68.8,79,"    $9,739"
049155,Western Local,Pike,Region 15,2  Stars,65.9,72.0,109.3,0.0,32.0,20.9,26.5,13.0,7.5,0.0,73.4,72.2,33,"   $13,561"
049171,Aurora City,Portage,Region 8,5  Stars,95.4,104.2,109.3,0.2,5.2,7.6,20.7,26.5,36.2,3.7,103.7,102.7,143.3,"   $12,954"
049189,Crestwood Local,Portage,Region 8,3  Stars,76.4,83.5,109.3,0.1,21.1,16.8,26.9,19.7,14.8,0.5,84.3,81.0,71.3,"   $12,586"
049197,Field Local,Portage,Region 8,4  Stars,81.7,89.3,109.3,0.2,14.0,17.2,27.1,22.3,18.3,0.9,91.2,87.9,90.6,"    $9,950"
049205,James A Garfield Local,Portage,Region 8,4  Stars,81.5,89.1,109.3,0.0,14.9,16.9,27.4,20.3,18.7,1.8,85.6,84.8,57.7,"   $12,179"
049213,Rootstown Local,Portage,Region 8,3  Stars,77.9,85.1,109.3,0.1,18.0,18.3,28.5,20.8,13.7,0.7,85.0,84.2,50.5,"   $11,657"
049221,Southeast Local,Portage,Region 8,3  Stars,76.7,83.9,109.3,0.2,19.9,18.3,25.8,19.2,16.0,0.6,87.4,86.4,79.1,"   $13,168"
049239,Streetsboro City,Portage,Region 8,3  Stars,78.0,85.2,109.3,0.4,18.2,18.1,24.7,21.4,16.4,0.8,81.8,81.6,96,"   $12,005"
049247,Waterloo Local,Portage,Region 8,3  Stars,78.0,85.3,109.3,0.0,17.9,17.3,30.5,21.5,12.8,0.0,87.5,82.0,38,"   $10,241"
049270,National Trail Local,Preble,Region 10,3  Stars,79.0,86.3,109.3,1.4,14.3,18.9,28.0,22.3,14.5,0.6,85.2,82.8,56.7,"   $14,176"
049288,Preble Shawnee Local,Preble,Region 10,3  Stars,71.9,78.5,109.3,1.0,22.8,21.3,26.9,16.5,10.8,0.7,78.6,75.0,68.7,"   $10,667"
049296,Twin Valley Community Local,Preble,Region 10,3  Stars,75.9,82.9,109.3,0.5,20.7,17.1,28.4,19.7,13.7,0.0,79.0,79.8,37.5,"   $11,530"
049312,Columbus Grove Local,Putnam,Region 1,5  Stars,90.6,99.0,109.3,0.0,6.8,12.0,25.5,27.2,27.8,0.9,98.7,95.7,43.1,"   $11,322"
049320,Continental Local,Putnam,Region 1,4  Stars,85.3,93.2,109.3,0.0,10.1,16.3,27.7,24.3,20.8,0.7,93.1,93.9,31,"   $12,551"
049338,Jennings Local,Putnam,Region 1,4  Stars,85.3,93.2,109.3,0.0,9.7,15.9,27.2,31.1,16.1,0.0,95.3,97.0,24.3,"   $12,681"
049346,Kalida Local,Putnam,Region 1,5  Stars,96.4,105.4,109.3,0.0,3.6,6.4,21.4,32.6,35.9,0.0,103.4,104.0,34.5,"   $11,520"
049353,Leipsic Local,Putnam,Region 1,4  Stars,84.3,92.1,109.3,0.4,10.8,14.4,32.5,26.5,14.9,0.5,93.5,90.8,36.2,"   $10,297"
049361,Miller City-New Cleveland Local,Putnam,Region 1,5  Stars,99.0,108.2,109.3,0.0,2.5,4.8,18.2,30.2,44.3,0.0,107.5,106.5,28,"   $11,830"
049379,Ottawa-Glandorf Local,Putnam,Region 1,4  Stars,89.4,97.7,109.3,0.3,7.8,11.2,27.7,26.9,25.3,0.7,95.5,95.8,76.5,"   $10,775"
049387,Ottoville Local,Putnam,Region 1,5  Stars,94.4,103.1,109.3,0.0,5.7,8.1,22.5,24.7,38.7,0.3,104.8,103.7,29,"   $11,915"
049395,Pandora-Gilboa Local,Putnam,Region 1,4  Stars,85.2,93.0,109.3,0.4,11.7,12.9,28.0,25.8,21.1,0.0,95.3,96.1,30.9,"   $13,125"
049411,Clear Fork Valley Local,Richland,Region 7,4  Stars,81.2,88.7,109.3,0.3,13.2,18.8,29.6,20.6,16.2,1.4,86.6,85.3,74.8,"   $10,130"
049429,Crestview Local,Richland,Region 7,3  Stars,78.8,86.1,109.3,0.0,17.8,18.5,26.0,18.5,16.9,2.2,85.2,85.5,49,"   $12,407"
049437,Lexington Local,Richland,Region 7,4  Stars,88.0,96.1,109.3,0.8,9.0,13.0,25.1,22.6,27.4,2.2,94.3,91.7,102,"    $9,911"
049445,Lucas Local,Richland,Region 7,4  Stars,81.0,88.5,109.3,0.0,13.0,19.2,32.3,19.8,14.6,1.1,87.5,87.0,34.1,"   $15,469"
049452,Madison Local,Richland,Region 7,3  Stars,74.9,81.9,109.3,0.7,21.0,19.0,25.9,18.3,15.0,0.1,82.3,81.9,150.5,"   $10,597"
049460,Plymouth-Shiloh Local,Richland,Region 7,3  Stars,78.7,85.9,109.3,0.0,17.6,18.4,26.1,20.4,16.3,1.2,86.9,81.8,42,"   $12,657"
049478,Ontario Local,Richland,Region 7,4  Stars,87.3,95.3,109.3,0.3,9.2,13.6,28.4,25.0,20.2,3.3,94.4,93.4,83.5,"    $9,223"
049494,Adena Local,Ross,Region 15,3  Stars,70.1,76.5,109.3,0.5,26.6,19.9,26.5,16.6,9.7,0.2,77.1,79.0,51.7,"    $9,751"
049502,Huntington Local,Ross,Region 15,2  Stars,68.8,75.1,109.3,0.3,28.9,20.4,24.0,15.4,10.9,0.2,75.3,71.9,69.2,"   $10,064"
049510,Paint Valley Local,Ross,Region 15,3  Stars,70.6,77.1,109.3,0.0,24.8,22.4,28.2,15.2,9.4,0.0,80.1,73.2,45.7,"   $13,459"
049528,Southeastern Local,Ross,Region 15,4  Stars,81.1,88.6,109.3,1.2,13.8,15.8,29.1,22.5,17.6,0.0,87.7,84.2,50.8,"   $11,493"
049536,Union-Scioto Local,Ross,Region 15,3  Stars,78.5,85.7,109.3,1.1,18.0,15.7,26.5,20.6,18.1,0.0,87.9,83.6,86.7,"    $9,537"
049544,Zane Trace Local,Ross,Region 15,3  Stars,75.3,82.3,109.3,1.2,20.3,18.1,26.0,19.2,15.2,0.0,81.9,79.3,69.7,"   $10,905"
049569,Lakota Local,Sandusky,Region 1,3  Stars,77.1,84.3,109.3,0.0,20.3,17.2,26.7,19.4,14.9,1.5,85.3,84.5,55,"   $12,042"
049577,Woodmore Local,Sandusky,Region 1,4  Stars,80.8,88.3,109.3,0.0,16.4,16.6,26.5,19.8,18.5,2.3,89.2,87.1,45.8,"    $9,698"
049593,Bloom-Vernon Local,Scioto,Region 15,4  Stars,86.4,94.4,109.3,0.1,12.7,11.7,23.0,24.2,28.3,0.0,95.2,91.1,65,"   $11,147"
049601,Clay Local,Scioto,Region 15,3  Stars,75.0,81.9,109.3,0.0,22.5,18.5,24.4,19.1,15.5,0.1,80.4,79.1,82,"   $10,895"
049619,Green Local,Scioto,Region 15,3  Stars,76.4,83.5,109.3,0.0,19.3,19.0,27.9,20.8,12.9,0.0,79.4,77.1,36,"   $13,818"
049627,Minford Local,Scioto,Region 15,3  Stars,75.4,82.4,109.3,0.4,21.6,17.8,26.1,18.1,16.0,0.0,83.1,77.9,66,"    $9,866"
049635,Northwest Local,Scioto,Region 15,3  Stars,77.9,85.1,109.3,0.4,19.5,16.2,24.5,21.9,17.4,0.1,85.8,81.1,78,"   $12,572"
049643,Valley Local,Scioto,Region 15,4  Stars,80.7,88.2,109.3,0.3,16.6,15.2,26.7,20.3,20.9,0.0,89.0,85.8,57,"   $11,723"
049650,Washington-Nile Local,Scioto,Region 15,2  Stars,69.8,76.3,109.3,0.3,27.1,20.3,25.4,17.0,9.9,0.0,77.0,75.8,73,"   $11,277"
049668,Wheelersburg Local,Scioto,Region 15,4  Stars,84.4,92.2,109.3,0.0,14.9,12.8,22.8,21.9,27.6,0.0,94.5,91.3,71.5,"    $8,109"
049684,Seneca East Local,Seneca,Region 7,4  Stars,87.7,95.8,109.3,0.1,9.0,14.0,28.0,23.0,22.7,3.1,98.4,92.7,42.4,"   $12,465"
049700,Hopewell-Loudon Local,Seneca,Region 7,4  Stars,89.0,97.3,109.3,0.0,8.4,13.3,23.8,25.6,27.9,1.0,98.4,95.5,31.8,"   $11,813"
049718,New Riegel Local,Seneca,Region 7,4  Stars,86.9,94.9,109.3,0.2,8.3,15.6,27.0,26.4,22.6,0.0,94.7,92.6,27,"   $14,703"
049726,Old Fort Local,Seneca,Region 7,4  Stars,83.1,90.8,109.3,0.3,12.9,15.7,29.5,21.2,18.0,2.3,89.6,89.8,38.6,"   $13,026"
049759,Anna Local,Shelby,Region 6,5  Stars,92.3,100.9,109.3,0.0,6.9,10.0,22.5,25.0,34.6,1.0,101.2,98.9,54.2,"   $11,229"
049767,Botkins Local,Shelby,Region 6,5  Stars,91.8,100.3,109.3,0.0,8.1,9.7,20.6,25.3,35.3,1.0,101.2,101.7,27.6,"   $11,746"
049775,Fairlawn Local,Shelby,Region 6,4  Stars,87.9,96.0,109.3,0.0,8.2,14.2,27.2,27.0,23.1,0.4,96.3,98.0,24.3,"   $12,345"
049783,Fort Loramie Local,Shelby,Region 6,5  Stars,100.0,109.2,109.3,0.0,1.7,4.9,19.7,26.2,44.3,3.1,108.2,106.8,38,"   $14,884"
049791,Hardin-Houston Local,Shelby,Region 6,4  Stars,84.9,92.7,109.3,0.4,10.4,15.0,29.4,25.2,19.3,0.3,90.6,90.0,38,"   $13,053"
049809,Jackson Center Local,Shelby,Region 6,5  Stars,92.1,100.7,109.3,0.0,6.9,9.9,25.0,23.4,32.7,2.1,99.0,98.3,31.3,"   $11,991"
049817,Russia Local,Shelby,Region 6,5  Stars,96.4,105.3,109.3,1.5,2.6,8.0,16.3,25.6,46.1,0.0,108.2,103.8,25.7,"   $12,141"
049833,Canton Local,Stark,Region 9,3  Stars,74.8,81.8,109.3,0.7,21.7,18.8,24.9,17.0,15.7,1.1,81.7,79.6,84,"   $11,689"
049841,Fairless Local,Stark,Region 9,3  Stars,77.8,85.0,109.3,0.3,17.5,20.3,25.1,18.2,18.0,0.7,84.0,84.3,75,"   $12,063"
049858,Jackson Local,Stark,Region 9,5  Stars,90.6,99.0,109.3,0.2,8.3,10.5,23.4,24.7,31.2,1.7,98.0,97.4,250.8,"   $10,134"
049866,Lake Local,Stark,Region 9,5  Stars,93.1,101.7,109.3,0.2,6.1,9.1,23.3,26.1,33.8,1.4,102.6,101.9,135.3,"   $10,274"
049874,Louisville City,Stark,Region 9,4  Stars,86.5,94.5,109.3,0.2,10.6,14.3,24.8,23.8,24.9,1.5,94.5,93.5,111.8,"    $9,512"
049882,Marlington Local,Stark,Region 9,3  Stars,78.1,85.3,109.3,0.3,18.8,17.0,26.9,19.7,16.0,1.3,88.6,88.6,84.8,"   $12,080"
049890,Minerva Local,Stark,Region 9,3  Stars,79.5,86.8,109.3,0.0,17.3,18.3,24.6,19.1,18.3,2.4,87.1,84.3,77.8,"   $10,436"
049908,Northwest Local,Stark,Region 9,5  Stars,90.7,99.1,109.3,0.2,7.6,11.4,23.1,26.1,29.3,2.3,101.4,98.4,84.5,"   $11,114"
049916,Osnaburg Local,Stark,Region 9,3  Stars,76.0,83.0,109.3,0.2,19.1,21.0,24.8,20.3,13.6,1.0,84.6,81.8,42.1,"    $9,967"
049924,Perry Local,Stark,Region 9,4  Stars,84.2,92.0,109.3,0.5,12.0,14.7,27.0,24.3,20.8,0.6,92.3,90.9,167.1,"   $10,373"
049932,Plain Local,Stark,Region 9,4  Stars,83.1,90.8,109.3,0.3,15.1,13.8,24.2,21.5,24.2,0.8,89.8,90.2,216.5,"    $9,076"
049940,Sandy Valley Local,Stark,Region 9,3  Stars,79.0,86.3,109.3,0.2,17.4,17.6,27.4,19.5,16.7,1.2,87.8,84.1,65,"   $10,872"
049957,Tuslaw Local,Stark,Region 9,5  Stars,90.1,98.5,109.3,0.2,8.2,11.1,25.2,24.0,29.5,1.8,99.2,97.4,53.1,"   $10,221"
049973,Woodridge Local,Summit,Region 8,3  Stars,76.2,83.3,109.3,0.7,21.5,17.1,21.9,19.1,19.1,0.5,84.9,83.5,94.1,"   $12,238"
049981,Copley-Fairlawn City,Summit,Region 8,4  Stars,89.4,97.6,109.3,0.7,9.4,11.4,22.4,21.2,30.9,4.0,99.8,98.1,136.2,"   $13,355"
049999,Coventry Local,Summit,Region 8,3  Stars,77.0,84.1,109.3,1.1,16.8,20.5,26.6,18.9,15.6,0.5,85.8,83.8,71,"   $11,945"
050005,Manchester Local,Summit,Region 8,4  Stars,87.9,96.0,109.3,0.0,9.5,12.3,28.9,24.3,23.5,1.5,95.5,94.3,66.7,"   $12,598"
050013,Green Local,Summit,Region 8,5  Stars,90.4,98.7,109.3,0.5,7.4,11.3,24.2,25.5,30.1,1.1,98.6,97.7,173.5,"   $10,512"
050021,Hudson City,Summit,Region 8,5  Stars,97.8,106.9,109.3,0.8,4.0,5.0,17.1,25.9,42.7,4.6,105.1,103.5,208.7,"   $14,559"
050039,Mogadore Local,Summit,Region 8,4  Stars,81.8,89.4,109.3,0.3,12.8,17.3,31.4,21.7,15.9,0.6,89.0,89.1,40.8,"   $13,220"
050047,Nordonia Hills City,Summit,Region 8,4  Stars,88.5,96.7,109.3,0.6,8.8,12.0,26.2,23.9,26.7,1.8,99.0,96.5,164,"   $15,054"
050054,Revere Local,Summit,Region 8,5  Stars,95.7,104.6,109.3,0.3,4.5,8.2,19.9,24.3,39.9,3.0,103.8,102.1,139,"   $13,001"
050062,Springfield Local,Summit,Region 8,3  Stars,71.8,78.4,109.3,0.1,24.7,20.9,25.3,16.1,12.9,0.0,77.6,77.1,75,"   $10,028"
050070,Twinsburg City,Summit,Region 8,4  Stars,88.4,96.6,109.3,0.6,9.3,13.2,22.7,21.7,29.1,3.3,97.9,96.0,168,"   $12,922"
050096,Bloomfield-Mespo Local,Trumbull,Region 5,2  Stars,68.6,75.0,109.3,0.0,32.0,17.6,19.4,19.1,10.4,1.4,77.0,83.6,21.5,"   $14,885"
050112,Bristol Local,Trumbull,Region 5,4  Stars,80.2,87.7,109.3,1.0,15.6,16.1,27.4,19.3,20.6,0.0,84.9,85.4,30.1,"   $10,912"
050120,Brookfield Local,Trumbull,Region 5,3  Stars,71.0,77.5,109.3,0.6,25.2,20.1,26.8,16.7,10.2,0.4,78.9,75.7,55.5,"    $9,334"
050138,Champion Local,Trumbull,Region 5,4  Stars,86.8,94.8,109.3,2.0,9.1,12.5,24.6,24.1,24.6,3.0,94.8,94.7,61.6,"   $11,723"
050153,Mathews Local,Trumbull,Region 5,3  Stars,78.1,85.3,109.3,1.2,17.4,17.3,25.8,20.2,17.9,0.2,87.8,86.1,40.3,"   $14,995"
050161,Howland Local,Trumbull,Region 5,4  Stars,84.0,91.7,109.3,0.6,13.1,14.9,24.8,21.5,23.3,1.9,91.8,87.4,110,"   $11,569"
050179,Joseph Badger Local,Trumbull,Region 5,4  Stars,82.4,90.0,109.3,0.0,14.6,16.3,25.4,22.8,18.0,2.9,87.7,84.9,31.2,"   $12,989"
050187,Lakeview Local,Trumbull,Region 5,5  Stars,90.2,98.6,109.3,0.2,8.3,11.5,23.6,25.1,27.3,4.1,99.4,98.1,67.3,"    $9,247"
050195,Liberty Local,Trumbull,Region 5,2  Stars,65.6,71.7,109.3,1.7,28.9,23.7,24.4,12.6,8.5,0.3,72.2,68.6,54.9,"    $9,310"
050203,Lordstown Local,Trumbull,Region 5,4  Stars,89.2,97.5,109.3,0.6,6.2,14.0,26.0,25.9,27.3,0.0,94.8,90.3,31.2,"   $17,307"
050211,Maplewood Local,Trumbull,Region 5,5  Stars,92.3,100.8,109.3,0.0,6.1,9.0,28.0,28.9,25.8,2.2,96.2,98.4,40.8,"   $11,258"
050229,McDonald Local,Trumbull,Region 5,4  Stars,88.6,96.8,109.3,0.3,7.7,13.0,30.0,24.0,22.6,2.4,95.6,93.8,40.3,"   $10,772"
050237,Southington Local,Trumbull,Region 5,4  Stars,81.0,88.5,109.3,0.0,15.2,17.5,27.0,20.3,19.3,0.8,93.0,91.3,30,"    $9,754"
050245,LaBrae Local,Trumbull,Region 5,3  Stars,76.6,83.7,109.3,0.4,18.6,20.3,25.9,18.8,14.1,1.9,85.5,82.7,55.1,"   $10,240"
050252,Weathersfield Local,Trumbull,Region 5,5  Stars,91.5,99.9,109.3,0.0,9.0,9.3,20.6,23.5,36.8,0.9,97.9,93.8,45,"   $10,655"
050278,Garaway Local,Tuscarawas,Region 12,4  Stars,87.5,95.6,109.3,0.1,10.3,11.8,27.3,25.1,25.1,0.3,94.4,92.2,54,"   $10,718"
050286,Indian Valley Local,Tuscarawas,Region 12,4  Stars,84.8,92.6,109.3,0.2,13.0,14.0,25.4,21.9,22.6,2.8,92.7,91.5,83,"   $11,557"
050294,Strasburg-Franklin Local,Tuscarawas,Region 12,3  Stars,79.5,86.8,109.3,0.1,16.2,18.3,28.2,19.7,16.7,0.9,89.4,88.4,33,"   $11,345"
050302,Tuscarawas Valley Local,Tuscarawas,Region 12,4  Stars,84.9,92.7,109.3,0.0,11.3,15.3,27.7,24.9,20.3,0.6,94.7,93.4,61.3,"   $11,283"
050328,Fairbanks Local,Union,Region 11,5  Stars,90.7,99.1,109.3,0.1,8.9,9.4,24.4,24.1,31.7,1.5,98.1,95.8,47.6,"   $11,986"
050336,North Union Local School District,Union,Region 11,4  Stars,80.9,88.4,109.3,0.4,15.8,16.7,27.1,18.2,18.5,3.4,91.3,87.9,64,"   $12,252"
050351,Crestview Local,Van Wert,Region 1,4  Stars,89.7,98.0,109.3,0.2,7.3,11.4,28.6,25.6,26.8,0.0,97.9,96.7,50.6,"   $11,911"
050369,Lincolnview Local,Van Wert,Region 1,4  Stars,85.7,93.7,109.3,0.0,11.3,13.4,29.2,24.6,19.9,1.6,97.0,94.9,45.1,"   $12,513"
050393,Vinton County Local,Vinton,Region 16,3  Stars,74.3,81.1,109.3,0.0,21.8,19.6,28.6,17.3,12.4,0.2,79.6,76.9,97.4,"   $12,082"
050419,Carlisle Local,Warren,Region 13,3  Stars,78.9,86.2,109.3,0.3,15.2,19.6,30.1,20.5,14.0,0.4,86.2,84.2,71.9,"   $12,237"
050427,Springboro Community City,Warren,Region 13,5  Stars,90.8,99.3,109.3,0.4,7.6,10.6,23.3,25.7,30.3,2.1,99.7,98.1,227.9,"    $9,254"
050435,Kings Local,Warren,Region 13,4  Stars,88.5,96.7,109.3,1.0,8.7,11.8,24.7,23.3,28.9,1.5,97.5,97.7,199.4,"   $10,770"
050443,Little Miami Local,Warren,Region 13,4  Stars,83.9,91.6,109.3,0.4,13.6,14.3,24.9,22.4,22.0,2.3,91.8,90.4,248.8,"   $10,792"
050450,Mason City,Warren,Region 13,5  Stars,94.4,103.1,109.3,0.8,6.4,8.3,19.4,21.6,35.6,7.9,102.5,100.9,404.4,"   $11,655"
050468,Wayne Local,Warren,Region 13,5  Stars,93.7,102.4,109.3,0.2,6.9,9.0,19.9,22.1,38.4,3.5,102.0,102.6,70.2,"   $11,412"
050484,Fort Frye Local,Washington,Region 16,4  Stars,83.3,91.0,109.3,0.2,13.3,14.7,28.3,24.0,18.4,1.0,90.6,90.9,46.5,"   $13,219"
050492,Frontier Local,Washington,Region 16,3  Stars,74.6,81.5,109.3,0.8,20.0,20.8,26.7,18.5,13.2,0.1,80.8,80.7,33.1,"   $12,711"
050500,Warren Local,Washington,Region 16,4  Stars,82.1,89.7,109.3,0.2,13.5,17.1,28.0,22.4,18.4,0.6,90.2,87.9,86,"   $10,011"
050518,Wolf Creek Local,Washington,Region 16,3  Stars,77.2,84.4,109.3,0.6,16.6,20.2,29.6,19.4,12.5,0.9,86.6,80.6,34.5,"   $13,957"
050534,Chippewa Local,Wayne,Region 9,5  Stars,92.8,101.4,109.3,0.0,4.4,11.6,27.6,24.3,29.0,3.0,98.5,97.0,58,"   $10,677"
050542,Dalton Local,Wayne,Region 9,5  Stars,90.6,99.0,109.3,0.3,7.6,10.9,26.1,23.1,28.8,3.2,98.6,96.8,40.6,"   $10,538"
050559,Green Local,Wayne,Region 9,4  Stars,86.7,94.7,109.3,0.1,10.6,14.0,25.5,23.0,25.2,1.6,94.4,93.8,52.3,"   $10,386"
050567,Norwayne Local,Wayne,Region 9,5  Stars,90.5,98.9,109.3,0.8,5.3,12.3,27.6,25.7,27.2,1.0,98.0,95.5,55.9,"    $9,584"
050575,Northwestern Local,Wayne,Region 9,4  Stars,82.7,90.3,109.3,0.3,14.5,14.4,26.5,23.2,21.1,0.0,91.0,90.0,62.5,"   $10,809"
050583,Southeast Local,Wayne,Region 9,4  Stars,82.5,90.2,109.3,0.2,15.1,14.8,24.8,23.1,20.6,1.4,92.0,90.1,74.6,"   $11,160"
050591,Triway Local,Wayne,Region 9,4  Stars,86.0,93.9,109.3,0.2,10.5,14.3,28.3,22.8,22.3,1.6,94.8,93.8,74,"   $12,598"
050617,Edgerton Local,Williams,Region 1,4  Stars,86.6,94.7,109.3,0.3,11.0,13.9,24.1,23.1,24.2,3.4,92.1,89.3,31.7,"   $12,380"
050625,Edon Northwest Local,Williams,Region 1,4  Stars,83.0,90.6,109.3,0.0,13.4,14.8,31.0,22.7,17.5,0.5,90.1,88.7,30.9,"   $11,332"
050633,Millcreek-West Unity Local,Williams,Region 1,3  Stars,78.8,86.1,109.3,0.0,14.2,21.8,29.1,22.5,12.1,0.3,88.8,88.4,27.6,"   $12,870"
050641,North Central Local,Williams,Region 1,3  Stars,74.5,81.4,109.3,0.0,20.2,21.8,28.2,18.7,10.4,0.8,82.2,79.8,30,"   $13,821"
050658,Stryker Local,Williams,Region 1,3  Stars,77.5,84.6,109.3,0.0,17.4,19.0,32.3,18.8,12.6,0.0,85.7,83.4,25,"   $13,163"
050674,Eastwood Local,Wood,Region 1,5  Stars,90.2,98.6,109.3,0.0,8.0,11.0,26.9,24.3,27.7,2.1,98.3,97.8,71.7,"   $12,510"
050682,Elmwood Local,Wood,Region 1,3  Stars,78.4,85.7,109.3,0.5,16.8,18.7,27.4,20.2,15.9,0.5,89.9,87.0,64.8,"   $11,868"
050690,Lake Local,Wood,Region 1,3  Stars,77.0,84.2,109.3,0.5,19.8,17.3,26.0,18.8,17.0,0.6,86.7,82.8,78.7,"   $11,620"
050708,North Baltimore Local,Wood,Region 1,3  Stars,73.7,80.5,109.3,1.2,22.0,19.1,25.2,18.4,13.9,0.2,81.0,79.7,36.3,"   $14,245"
050716,Northwood Local Schools,Wood,Region 1,3  Stars,73.4,80.2,109.3,0.4,23.0,19.0,29.1,16.8,10.6,1.3,79.7,80.0,44,"   $13,142"
050724,Otsego Local,Wood,Region 1,4  Stars,80.2,87.6,109.3,0.1,15.6,17.6,27.1,21.9,17.7,0.0,87.7,84.6,67.4,"   $10,721"
050740,Mohawk Local,Wyandot,Region 7,4  Stars,87.6,95.7,109.3,0.1,9.5,14.6,24.4,22.0,27.4,2.1,96.5,93.2,46.5,"   $14,667"
061903,Adams County Ohio Valley Local,Adams,Region 14,3  Stars,73.1,79.9,109.3,0.6,23.8,18.3,26.1,17.9,13.2,0.2,80.4,78.6,166,"   $11,089"
065680,Gallia County Local,Gallia,Region 16,2  Stars,69.5,75.9,109.3,0.3,28.0,20.6,23.9,15.4,10.6,1.2,76.7,74.3,106,"    $9,781"
069682,East Guernsey Local,Guernsey,Region 12,3  Stars,71.5,78.1,109.3,0.3,24.9,20.6,25.6,17.0,11.5,0.2,82.5,78.1,45.5,"   $12,810"
091397,Tri-County North Local,Preble,Region 10,3  Stars,75.5,82.5,109.3,1.6,18.6,18.9,27.9,20.1,12.3,0.6,85.4,84.1,42.2,"   $13,793"
139303,Monroe Local,Butler,Region 13,4  Stars,86.6,94.6,109.3,0.2,11.9,12.4,23.7,23.4,27.1,1.2,94.1,93.8,112.1,"    $9,986"
